"Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","b1","b2","b3","b4","b5","b6","Group"
14.5,2,11,5,5,8,14.5,11,5,11,0,7,3,9,13,1,"A"
14.5,4.5,8.5,4.5,8.5,8.5,14.5,12,2,8.5,0,6,3,11,13,1,"A"
11.5,7.5,14.5,1,4,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14,2,8,0,8,5,14,14,8,11,1,6,4,10,12,3,"A"
11.5,8,14.5,4.5,2,11.5,14.5,8,4.5,8,0,6,3,10,13,1,"A"
14.5,7.5,7.5,0,11.5,7.5,14.5,11.5,7.5,4,1,5,3,10,13,2,"A"
14,2,8,0,8,5,14,14,8,11,1,6,4,10,12,3,"A"
14,6,14,0,6,6,14,10,10,10,1,4,3,8,12,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
11.5,5,11.5,7,1,11.5,11.5,11.5,3,11.5,0,6,4,8,15,2,"A"
14.5,2,11,4.5,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
14,3,10.5,1,7,7,14,14,7,10.5,0,5,4,9,12,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14,3,7,0,10,5,14,14,10,10,1,6,4,8,12,2,"A"
11,7.5,14.5,4.5,2,11,14.5,11,4.5,7.5,0,6,3,9,13,1,"A"
11.5,7,11.5,3.5,3.5,11.5,15,11.5,7,7,0,5,2,9,14,1,"A"
11.5,11.5,11.5,2,5,11.5,15,8,5,5,0,7,3,9,14,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,4,8,0,8,8,14.5,12,8,8,1,5,3,11,13,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
11.5,6.5,11.5,1,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,2,"A"
14,4.5,14,2,4.5,7.5,14,10.5,7.5,10.5,0,6,3,9,12,1,"A"
12,7.5,15,7.5,1,12,12,7.5,4,7.5,0,5,3,10,14,2,"A"
14.5,2,11.5,5,5,8.5,14.5,11.5,5,8.5,0,7,3,10,13,1,"A"
14.5,4.5,10.5,0,7,4.5,14.5,10.5,10.5,10.5,1,6,3,8,13,2,"A"
11.5,11.5,11.5,1,7,11.5,15,7,7,3,0,5,4,9,14,2,"A"
11.5,11.5,11.5,5.5,5.5,11.5,15,8,2.5,2.5,0,7,4,9,14,1,"A"
14.5,7,11.5,2,7,7,14.5,11.5,7,7,0,4,3,10,13,1,"A"
11.5,11.5,11.5,1,6.5,11.5,15,6.5,6.5,6.5,0,4,3,9,14,2,"A"
14,3,10.5,1,7,7,14,14,7,10.5,0,5,4,9,12,2,"A"
14.5,3,10.5,1,6.5,6.5,14.5,10.5,10.5,10.5,0,5,4,8,13,2,"A"
11.5,5,11.5,7.5,2.5,11.5,15,11.5,2.5,7.5,0,6,4,9,14,1,"A"
11,7,14.5,3.5,3.5,11,14.5,11,7,7,0,5,2,9,13,1,"A"
14.5,4.5,11,0,7.5,4.5,14.5,11,11,7.5,1,6,3,9,13,2,"A"
11,6.5,14.5,1,6.5,11,14.5,6.5,11,6.5,0,4,3,9,13,2,"A"
12,5,12,7.5,1.5,12,12,12,1.5,7.5,0,6,4,9,15,3,"A"
